統計期,國家/地區別,<b>總計</b>,1.活動物；動物產品,(1)水產品,2.植物產品,(1)食用蔬菜,(2)食用果實及堅果,3.動植物油脂,4.調製食品；飲料及菸酒,(1)調製食品,(2)飲料、酒類及醋,(3)菸及菸葉代用品,5.礦產品,(1)石油煉製品,6.化學品,(1)有機化學品,7.塑膠、橡膠及其製品,(1)塑膠原料,(2)塑膠製品,(3)橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,(1)紗布,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,(1)鋼鐵及其製品,(2)其他基本金屬及其製品,16.機械及電機設備,(1)電子零組件,(2)機械,(3)電機產品,(4)資通與視聽產品,(5)家用電器,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,(1)光學及精密儀器,19.其他,(1)家具,(2)玩具與運動用品,月,年
110年 3月,南亞,591591.0,646,41,1090,2,－,115,1206,87,64,－,16981,12715,114845,77610,160428,139144,9704,11580,1665,89,7404,65351,53265,211,1744,－,61944,52836,9108,140728.0,36540,56114.0,8802,38616,656,3973,5948,5921,7223,331,1002,3,110
110年 3月,印度,401767.0,41,41,1041,－,－,13,968,56,9,－,16454,12559,94924,72464,109912,99003,6459,4450,225,89,4430,13304,9632,87,1175,－,29052,21684,7368,119686.0,36497,40803.0,7698,34462,226,2106,4794,4767,3466,216,552,3,110
110年 3月,巴基斯坦,56618.0,－,－,16,－,－,102,35,7,－,－,79,－,8409,3149,10707,8198,1241,1268,231,－,136,7885,2280,－,407,－,21413,20949,464,5148.0,－,4035.0,374,639,100,660,552,552,838,32,164,3,110
110年 3月,孟加拉,91255.0,603,－,－,－,－,－,55,10,－,－,295,146,8815,1734,29601,27442,1178,981,1204,－,1957,23301,21803,94,68,－,9927,8918,1009,12027.0,2,9166.0,408,2150,301,1119,260,260,1929,78,157,3,110
110年 3月,斯里蘭卡,40835.0,2,－,8,2,－,－,93,14,－,－,153,10,2649,254,10142,4501,760,4881,5,－,741,20578,19267,30,94,－,1552,1285,267,3455.0,41,2058.0,322,1005,29,88,285,285,960,5,129,3,110
110年 3月,尼泊爾,1091.0,－,－,25,－,－,－,55,－,55,－,－,－,48,9,66,－,66,－,－,－,140,283,283,－,－,－,－,－,－,406.0,－,46.0,－,360,－,－,38,38,30,－,－,3,110
110年 3月,不丹,25.0,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,6.0,－,6.0,－,－,－,－,19,19,－,－,－,3,110
110年 3月,哈薩克,3667.0,－,－,－,－,－,－,69,－,－,69,－,－,159,－,－,－,－,－,－,－,2,－,－,－,1,－,9,2,7,3006.0,－,801.0,111,1991,103,218,43,43,160,－,140,3,110
110年 3月,中東,425075.0,803,779,888,216,42,50,1878,441,1380,57,14686,12978,29576,18183,59739,40223,10526,8990,52,195,1857,29798,24194,173,1855,12,52938,41365,11573,167475.0,27586,58607.0,20230,58758,2294,49493,5294,5195,8313,1442,2492,3,110
110年 3月,伊朗,2039.0,－,－,－,－,－,－,－,－,－,－,－,－,436,－,50,－,23,27,－,－,－,－,－,－,－,－,234,32,202,1131.0,－,228.0,240,662,1,72,104,104,12,－,－,3,110
